year,month,type,link
2018,1,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-01.csv
2018,1,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-01.csv
2018,1,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-01.csv
2018,2,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-02.csv
2018,2,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-02.csv
2018,2,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-02.csv
2018,3,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-03.csv
2018,3,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-03.csv
2018,3,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-03.csv
2018,4,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-04.csv
2018,4,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-04.csv
2018,4,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-04.csv
2018,5,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-05.csv
2018,5,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-05.csv
2018,5,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-05.csv
2018,6,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-06.csv
2018,6,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-06.csv
2018,6,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-06.csv
2018,7,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-07.csv
2018,7,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-07.csv
2018,7,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-07.csv
2018,8,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-08.csv
2018,8,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-08.csv
2018,8,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-08.csv
2018,9,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-09.csv
2018,9,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-09.csv
2018,9,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-09.csv
2018,10,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-10.csv
2018,10,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-10.csv
2018,10,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-10.csv
2018,11,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-11.csv
2018,11,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-11.csv
2018,11,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-11.csv
2018,12,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-12.csv
2018,12,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-12.csv
2018,12,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-12.csv
2017,1,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-01.csv
2017,1,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-01.csv
2017,1,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-01.csv
2017,2,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-02.csv
2017,2,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-02.csv
2017,2,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-02.csv
2017,3,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-03.csv
2017,3,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-03.csv
2017,3,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-03.csv
2017,4,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-04.csv
2017,4,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-04.csv
2017,4,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-04.csv
2017,5,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-05.csv
2017,5,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-05.csv
2017,5,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-05.csv
2017,6,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-06.csv
2017,6,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-06.csv
2017,6,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-06.csv
2017,7,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-07.csv
2017,7,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-07.csv
2017,7,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-07.csv
2017,8,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-08.csv
2017,8,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-09.csv
