pickup_datetime,passenger_count,pk_id,dp_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,payment_type,total_amount,tip_amount,trip_distance
2011-02-01 00:00:00,2,2269,2675,-73.99709799999998,40.722403,-73.985687,40.744168,10.9,CRD,14.9,3.0,2.48
2011-02-01 00:00:00,1,202,400,-73.96478,40.75902,-73.953303,40.768008,5.3,CSH,6.3,,1.1
2011-02-01 00:00:00,1,2269,2791,-73.9974,40.722462,-73.9786,40.748490000000004,10.9,CRD,13.9,2.0,2.29
2011-02-01 00:00:00,3,4410,409,-73.99971499999998,40.726775,-73.948642,40.773948,13.3,CSH,14.3,,4.85
2011-02-01 00:00:00,2,3931,2983,-74.00032,40.730508,-73.970027,40.757257,9.7,CSH,10.7,,3.06
2011-02-01 00:00:00,5,4466,3447,-74.014758,40.710705,-74.000192,40.708657,8.5,CRD,11.0,1.5,2.32
2011-02-01 00:00:00,1,3754,958,-73.968822,40.764382,-73.95255299999998,40.800605,9.7,CRD,11.7,1.0,3.3
2011-02-01 00:00:00,1,655,4459,-74.00739299999998,40.741046999999995,-74.00700999999998,40.70742,10.5,CSH,11.5,,2.9
2011-02-01 00:00:00,1,796,1235,-73.996705,40.737275,-73.99431699999998,40.730068,4.5,CSH,5.5,,0.72
2011-02-01 00:00:00,1,3245,2905,-73.95284699999999,40.772162,-73.94667199999999,40.780745,3.7,CSH,4.7,,0.72
2011-02-01 00:00:00,1,2108,1962,-73.982203,40.762885,-73.972892,40.756028,4.5,CRD,8.5,3.0,0.8299999999999998
2011-02-01 00:00:00,1,3849,2303,-73.982095,40.776307,-73.964903,40.801662,6.5,CRD,8.5,1.0,1.99
2011-02-01 00:00:00,1,2906,3241,-73.97455999999998,40.756138,-73.966083,40.753797,4.5,CRD,7.5,2.0,0.56
2011-02-01 00:00:00,6,149,3210,-73.956742,40.812738,-73.93821699999998,40.840765000000005,8.099999999999998,CSH,9.1,,2.25
2011-02-01 00:00:00,1,3544,1986,-73.96405699999998,40.808021999999994,-74.008177,40.73749,17.3,CRD,21.86,3.56,6.19
2011-02-01 00:00:00,1,512,1774,-73.982005,40.769223,-73.949197,40.801843,10.9,CRD,14.28,2.38,3.64
2011-02-01 00:00:00,1,1507,1282,-73.986255,40.762332,-73.951538,40.822575,14.5,CSH,15.5,,5.54
2011-02-01 00:00:00,2,2565,810,-73.990018,40.761720000000004,-73.988828,40.74845,6.1,CRD,8.099999999999998,1.0,1.26
2011-02-01 00:00:00,1,2381,1109,-73.967743,40.756125,-73.971102,40.748217,4.1,CSH,5.1,,0.67
2011-02-01 00:00:00,1,531,935,-73.978452,40.786583,-73.97422799999998,40.79387,4.1,CSH,5.1,,0.6
2011-02-01 00:00:00,4,973,2874,-73.989942,40.735285,-73.968665,40.758648,10.1,CRD,12.1,1.0,2.13
2011-02-01 00:00:00,2,2940,3199,-73.99856199999999,40.724727,-73.97978499999999,40.727647,7.7,CRD,9.7,1.0,1.5
2011-02-01 00:00:00,2,2016,2304,-73.95572,40.776497,-73.96439699999999,40.802275,8.5,CRD,11.02,1.52,2.61
2011-02-01 00:00:00,2,3778,2988,-73.95967299999998,40.776998,-73.962062,40.767712,5.3,CRD,7.3,1.0,0.89
2011-02-01 00:00:00,2,2143,399,-73.983683,40.738107,-73.953305,40.767477,10.1,CRD,12.3,1.2,2.94
2011-02-01 00:00:00,1,1999,3206,-73.99183999999998,40.729982,-73.98059499999998,40.72248,4.5,CRD,6.5,1.0,0.95
2011-02-01 00:00:00,2,2940,304,-73.998672,40.724723,-74.00680699999998,40.707088,7.7,CRD,9.7,1.0,1.71
2011-02-01 00:00:00,2,2560,2261,-73.99383299999998,40.756452,-73.95259199999998,40.826335,15.7,CRD,20.7,4.0,6.46
2011-02-01 00:00:00,1,1464,3135,-73.997505,40.718959999999996,-73.988088,40.723852,5.3,CRD,7.3,1.0,0.85
2011-02-01 00:00:00,1,720,3990,-73.988088,40.718855,-73.992248,40.724957,4.5,CRD,7.5,2.0,0.74
2011-02-01 00:00:00,1,3012,889,-73.97554699999999,40.760737,-74.003043,40.733373,10.9,CRD,12.9,1.0,3.14
2011-02-01 00:00:00,1,3374,3418,-73.995817,40.7672,-74.017275,40.705137,14.1,CRD,18.75,3.65,4.69
2011-02-01 00:00:00,1,264,3579,-74.01321299999998,40.702312,-73.952152,40.82394,24.5,CSH,25.5,,9.8
2011-02-01 00:00:00,5,4267,1321,-74.002628,40.733725,-73.99046,40.728817,5.7,CRD,7.7,1.0,0.9
