ID,WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,IndelingswijzigingWijkenEnBuurten_4,AantalInwoners_5,Mannen_6,Vrouwen_7,k_0Tot15Jaar_8,k_15Tot25Jaar_9,k_25Tot45Jaar_10,k_45Tot65Jaar_11,k_65JaarOfOuder_12,Ongehuwd_13,Gehuwd_14,Gescheiden_15,Verweduwd_16,WestersTotaal_17,NietWestersTotaal_18,Marokko_19,NederlandseAntillenEnAruba_20,Suriname_21,Turkije_22,OverigNietWesters_23,GeboorteTotaal_24,GeboorteRelatief_25,SterfteTotaal_26,SterfteRelatief_27,HuishoudensTotaal_28,Eenpersoonshuishoudens_29,HuishoudensZonderKinderen_30,HuishoudensMetKinderen_31,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,Woningvoorraad_34,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,PercentageMeergezinswoning_37,PercentageBewoond_38,PercentageOnbewoond_39,Koopwoningen_40,HuurwoningenTotaal_41,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,EigendomOnbekend_44,BouwjaarVoor2000_45,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,Appartement_48,Tussenwoning_49,Hoekwoning_50,TweeOnderEenKapWoning_51,VrijstaandeWoning_52,Huurwoning_53,EigenWoning_54,GemiddeldAardgasverbruikTotaal_55,Appartement_56,Tussenwoning_57,Hoekwoning_58,TweeOnderEenKapWoning_59,VrijstaandeWoning_60,Huurwoning_61,EigenWoning_62,PercentageWoningenMetStadsverwarming_63,AantalInkomensontvangers_64,GemiddeldInkomenPerInkomensontvanger_65,GemiddeldInkomenPerInwoner_66,k_40PersonenMetLaagsteInkomen_67,k_20PersonenMetHoogsteInkomen_68,Actieven1575Jaar_69,k_40HuishoudensMetLaagsteInkomen_70,k_20HuishoudensMetHoogsteInkomen_71,HuishoudensMetEenLaagInkomen_72,HuishOnderOfRondSociaalMinimum_73,PersonenPerSoortUitkeringBijstand_74,PersonenPerSoortUitkeringAO_75,PersonenPerSoortUitkeringWW_76,PersonenPerSoortUitkeringAOW_77,BedrijfsvestigingenTotaal_78,ALandbouwBosbouwEnVisserij_79,BFNijverheidEnEnergie_80,GIHandelEnHoreca_81,HJVervoerInformatieEnCommunicatie_82,KLFinancieleDienstenOnroerendGoed_83,MNZakelijkeDienstverlening_84,RUCultuurRecreatieOverigeDiensten_85,PersonenautoSTotaal_86,PersonenautoSJongerDan6Jaar_87,PersonenautoS6JaarEnOuder_88,PersonenautoSBrandstofBenzine_89,PersonenautoSOverigeBrandstof_90,PersonenautoSPerHuishouden_91,PersonenautoSNaarOppervlakte_92,Motorfietsen_93,AfstandTotHuisartsenpraktijk_94,AfstandTotGroteSupermarkt_95,AfstandTotKinderdagverblijf_96,AfstandTotSchool_97,ScholenBinnen3Km_98,OppervlakteTotaal_99,OppervlakteLand_100,OppervlakteWater_101,MeestVoorkomendePostcode_102,Dekkingspercentage_103,MateVanStedelijkheid_104,Omgevingsadressendichtheid_105,TotaalDiefstalUitWoningSchuurED_106,VernielingMisdrijfTegenOpenbareOrde_107,GeweldsEnSeksueleMisdrijven_108
12312,GM0599    ,Rotterdam                               ,Gemeente  ,GM0599    ,.,634660,312781,321879,103435,85405,192900,156875,96045,356353,188523,62086,27698,78789,240571,43555,24362,52579,47772,72303,7714,12,5608,8,319780,153325,72048,94407,2,2943,309693,153,25,75,94,6,35,64,44,20,1,89,11,2410,2090,3090,3240,4010,4960,2100,2910,840,740,1020,1260,1700,2560,800,970,17.3,487600,29.9,23.7,45,18,55.4,53.8,13.3,14.8,14.4,41650,26020,13780,91320,54670,330,7075,11695,6185,4755,16380,8245,219145,66495,152655,182280,36870,0.7,1016,12280,0.6,0.5,0.4,0.5,23.1,32416,21564,10852,         .,       .,1,3932,5,6,9
12313,WK059901  ,Rotterdam                               ,Wijk      ,WK059901  ,1,33995,17670,16325,3170,5425,14195,7015,4195,22820,7340,2960,885,6050,12630,2045,1170,2550,1625,5230,430,12,190,5,20530,12430,4970,3135,1.6,8207,18935,183,1,99,91,9,30,69,30,39,1,83,17,2100,2040,3440,2610,       .,       .,1930,2260,250,280,890,410,       .,510,320,230,61,27400,37.3,32.1,38.9,28.3,61.2,51.6,15.7,12.6,12.7,1900,1050,620,3970,7950,10,340,1935,800,935,2915,1015,13480,6840,6635,9880,3600,0.7,3253,640,0.5,0.3,0.3,0.5,39.8,488,414,74,         .,       .,1,6110,4,12,29
12314,BU05990110,Rotterdam                               ,Buurt     ,BU05990110,1,15615,8175,7435,1240,2225,7375,3020,1755,10790,3280,1185,365,3115,4175,380,470,840,400,2080,230,14,55,3,9825,6075,2605,1150,1.5,11495,9165,195,0,100,92,8,36,63,18,46,1,74,26,2090,2050,2080,1680,       .,       .,1960,2190,80,90,       .,       .,       .,       .,80,110,82.2,12700,42.5,37.4,29.9,36,67.9,44.5,18.5,7.8,7.6,520,400,290,1670,3555,5,145,790,365,405,1480,365,6440,3280,3160,4215,2225,0.7,4740,390,0.5,0.3,0.4,0.7,39.3,173,136,37,3011,1,1,6287,4,11,19
12315,BU05990111,Rotterdam                               ,Buurt     ,BU05990111,1,9435,4790,4640,1290,1490,2955,2360,1340,5850,2215,1100,275,1180,5475,1305,270,1160,980,1760,80,8,85,9,5025,2750,965,1320,1.8,16660,4561,136,2,98,95,5,18,79,60,19,3,98,2,2050,2010,3350,       .,       .,       .,1940,2420,930,910,1500,       .,       .,       .,910,980,       .,7400,25.4,20.7,56.7,13.1,47.9,65.3,8.8,24.2,24.9,1090,440,160,1260,1075,0,75,295,80,65,305,255,2135,560,1570,1670,465,0.4,3766,105,0.3,0.3,0.2,0.3,42.8,57,57,0,3014,2,1,6290,4,6,13
12316,BU05990112,Rotterdam                               ,Buurt     ,BU05990112,1,5660,2915,2740,435,895,2595,1020,715,3915,1065,510,175,1075,2115,335,215,410,210,945,85,15,35,6,3470,2190,815,475,1.5,9281,3341,169,1,99,86,14,22,77,27,49,1,85,15,1900,1900,4080,       .,       .,       .,1870,2020,150,150,330,       .,       .,       .,170,180,73.6,4500,36.7,32.2,35.6,29.6,66.4,51.2,14.5,11.7,12.5,260,160,110,680,1630,0,55,580,165,145,455,235,1615,630,985,1220,395,0.5,2646,75,0.7,0.2,0.3,0.5,41.4,61,61,0,3012,1,1,6186,4,21,65
12317,BU05990113,Rotterdam                               ,Buurt     ,BU05990113,1,950,540,410,70,155,440,195,100,610,270,60,20,225,345,5,45,50,15,225,10,10,5,5,610,365,175,80,1.6,2340,562,180,0,100,90,10,48,52,1,51,0,100,0,1950,1950,       .,       .,       .,       .,1830,2060,       .,       .,       .,       .,       .,       .,       .,       .,99.6,800,47.1,40.6,26.1,36.8,68.1,37.8,19,4,3.8,0,30,20,90,645,0,20,80,105,85,285,65,570,370,200,335,235,0.9,1396,25,0.8,0.6,0.4,0.7,41.8,41,41,0,3013,1,1,6947,4,28,140
12318,BU05990118,Rotterdam                               ,Buurt     ,BU05990118,1,1640,890,745,100,445,485,370,245,1080,425,95,45,355,245,10,60,40,15,115,10,7,5,4,1085,680,320,90,1.5,2347,873,402,4,96,85,15,49,47,9,38,4,78,22,3300,2780,5240,       .,       .,       .,2500,3000,90,120,620,       .,       .,690,310,150,59.2,1400,52,46,41,35,51.3,51.4,27.7,6.9,6.1,20,20,20,230,870,0,45,160,65,215,325,60,880,445,435,640,240,0.8,1259,30,0.5,0.5,0.4,0.9,22.5,104,70,34,3016,1,1,3350,3,5,12
12319,BU05990119,Rotterdam                               ,Buurt     ,BU05990119,1,690,345,340,35,215,350,55,40,580,85,20,10,90,270,5,110,45,10,95,0,4,0,0,505,385,100,30,1.4,1377,433,130,3,97,93,7,14,85,58,28,0,83,17,1940,1810,       .,       .,       .,       .,1480,2840,80,210,130,       .,       .,       .,60,570,31.2,600,29.4,26.6,47.7,17.4,57.1,71.3,9,8.9,7.3,10,10,10,40,175,0,5,30,15,25,70,30,1840,1555,285,1800,45,       .,       .,15,0.6,0.6,0.5,0.7,31.9,52,50,2,3015,1,1,5236,1,30,52
12320,WK059903  ,Rotterdam                               ,Wijk      ,WK059903  ,1,75835,38675,37160,12785,12475,26100,17445,7030,48145,18535,7475,1690,10185,42535,9820,2605,7575,9945,12590,895,11,350,4,38650,19930,7460,11270,1.9,14712,34782,125,4,96,95,5,28,71,48,23,2,90,10,2180,2120,3160,2560,3710,       .,2030,2460,920,910,1470,1490,       .,       .,920,950,6.3,57600,25.2,19.7,52.1,13.1,52.8,61.6,9.2,20.3,19.3,6780,3160,1700,6600,6500,45,705,1135,740,320,2130,1420,18730,3345,15385,15305,3425,0.5,3634,940,0.3,0.4,0.3,0.3,32,596,516,81,         .,       .,1,5493,4,7,9
12321,BU05990320,Rotterdam                               ,Buurt     ,BU05990320,1,6995,3670,3325,905,1405,2785,1400,505,5120,1045,725,110,985,3275,540,580,665,430,1055,65,9,25,3,3890,2270,820,810,1.7,16337,3295,113,2,98,96,4,19,77,55,22,5,96,4,2100,2030,2800,2210,       .,       .,1990,2170,940,930,1500,1680,       .,       .,980,880,       .,5300,24.5,20,52.6,12.3,52.4,67.7,6.6,19.5,18.3,670,250,170,480,685,0,50,100,85,40,235,170,1590,275,1315,1355,235,0.4,3717,130,0.5,0.5,0.3,0.4,28,55,43,12,3024,1,1,4803,3,9,11
