id,code,uic,naam,middel_naam,korte_naam,friendly,land,type,geo_lat,geo_lng
266,ht,8400319,'s-Hertogenbosch,'s-Hertogenbosch,H'bosch,s-hertogenbosch,NL,knooppuntintercitystation,51.69048,5.29362
269,hto,8400320,'s-Hertogenbosch Oost,Hertogenbosch O.,H'bosch O,s-hertogenbosch-oost,NL,stoptreinstation,51.70055389,5.318333149
227,hde,8400388,'t Harde,'t Harde,'t Harde,t-harde,NL,stoptreinstation,52.4091682,5.893611
51,atn,8400045,Aalten,Aalten,Aalten,aalten,NL,stoptreinstation,51.92132652,6.578627229
5,ac,8400047,Abcoude,Abcoude,Abcoude,abcoude,NL,stoptreinstation,52.2785,4.977
14,akm,8400049,Akkrum,Akkrum,Akkrum,akkrum,NL,stoptreinstation,53.04639053,5.84361124
26,amr,8400050,Alkmaar,Alkmaar,Alkmaar,alkmaar,NL,knooppuntintercitystation,52.63777924,4.739722252
28,amrn,8400052,Alkmaar Noord,Alkmaar Noord,Alkmaar N,alkmaar-noord,NL,stoptreinstation,52.64389038,4.764166832
25,aml,8400051,Almelo,Almelo,Almelo,almelo,NL,knooppuntintercitystation,52.35805511,6.653888702
27,amri,8400520,Almelo de Riet,Almelo de Riet,de Riet,almelo-de-riet,NL,stoptreinstation,52.34194565,6.666666508
18,almb,8400081,Almere Buiten,Almere Buiten,Buiten,almere-buiten,NL,stoptreinstation,52.39416504,5.278055668
17,alm,8400080,Almere Centrum,Almere C.,Almere C,almere-centrum,NL,knooppuntintercitystation,52.37503,5.21764
19,almm,8400082,Almere Muziekwijk,Muziekwijk,Muziekwijk,almere-muziekwijk,NL,stoptreinstation,52.36750031,5.190277576
20,almo,8400226,Almere Oostvaarders,Oostvaarders,Oostvaard,almere-oostvaarders,NL,stoptreinstation,52.40333176,5.300555706
21,almp,8400104,Almere Parkwijk,Almere Parkwijk,Parkwijk,almere-parkwijk,NL,stoptreinstation,52.37666702,5.244722366
680,ampo,8400450,Almere Poort,Almere Poort,Almere P,almere-poort,NL,stoptreinstation,52.342778,5.151944
36,apn,8400053,Alphen a/d Rijn,Alphen a/d Rijn,Alphen,alphen-a-d-rijn,NL,knooppuntintercitystation,52.12444305,4.657777786
23,amf,8400055,Amersfoort,Amersfoort,Amersfoort,amersfoort,NL,knooppuntintercitystation,52.1538887,5.370555401
24,amfs,8400054,Amersfoort Schothorst,Schothorst,Schothorst,amersfoort-schothorst,NL,stoptreinstation,52.17482214,5.403888702
54,avat,8400228,Amersfoort Vathorst,Vathorst,Vathorst,amersfoort-vathorst,NL,sneltreinstation,52.19277954,5.433888912
40,asa,8400057,Amsterdam Amstel,Amsterdam Amstel,Amstel,amsterdam-amstel,NL,intercitystation,52.34666824,4.917778015
41,asb,8400074,Amsterdam Bijlmer ArenA,Bijlmer ArenA,Bijlmer A,amsterdam-bijlmer-arena,NL,knooppuntstoptreinstation,52.31222153,4.946944237
43,asd,8400058,Amsterdam Centraal,Amsterdam C.,A'dam C,amsterdam-centraal,NL,megastation,52.37888718,4.900277615
47,ashd,8400231,Amsterdam Holendrecht,Holendrecht,Holendrcht,amsterdam-holendrecht,NL,stoptreinstation,52.29844,4.95972
44,asdl,8400079,Amsterdam Lelylaan,Lelylaan,Lelylaan,amsterdam-lelylaan,NL,stoptreinstation,52.35777664,4.833889008
45,asdm,8400060,Amsterdam Muiderpoort,Muiderpoort,Muiderprt,amsterdam-muiderpoort,NL,stoptreinstation,52.36055374,4.931111336
393,rai,8400056,Amsterdam RAI,Amsterdam RAI,A'dam RAI,amsterdam-rai,NL,stoptreinstation,52.33722305,4.890277863
